매장명,주소,구
신길썬프라자점,서울 영등포구 신길동  4662,영등포구
영등포에이스점,서울 영등포구 문래동3가  55-20 에이스하이테크시티2동 108호,영등포구
한국수출입은행점,서울특별시 영등포구 은행로 38 (여의도동 한국수출입은행 ),영등포구
신길역점,서울특별시 영등포구 영등포로 353,영등포구
당산중앙점,서울 영등포구 당산로 159 1층(당산동4가),영등포구
여의나루역점,"서울 영등포구 여의나루로 113 2층 201,220,221호",영등포구
여의도역점,"서울 영등포구 의사당대로 108 비05호(여의도동, 아일렉스상가)",영등포구
양평동2가점,서울 영등포구 선유서로25길 19 1층 101호(양평동2가),영등포구
도림점,"서울 영등포구 도신로15길 40 (도림동,도림빌딩) 1층 102호",영등포구
영등포아크로타워점,서울 영등포구 국회대로54길 10 상가1동 1층 2호,영등포구
숙대입구역점,서울 용산구 갈월동  한강대로 289,용산구
동부이촌동점,서울특별시 용산구 이촌로77길 19 (이촌동 이촌종합상가 ),용산구
원효로점,서울특별시 용산구 원효로 257 1층(원효로1가),용산구
동자동점,서울특별시 용산구 후암로 93 (동자동) 지상1층,용산구
순천향병원점,서울특별시 용산구 대사관로 72 1층,용산구
IBK고객센터점,서울 용산구 한남동  707-18 IBK 고객센터 1층,용산구
삼각지점,서울 용산구 한강대로 138 1층(한강로2가),용산구
용산효창점,서울 용산구 효창원로66길 2 1층,용산구
용문점,서울 용산구 원효로41길 73 (원효로2가) 제1층,용산구
용산원효점,"서울 용산구 원효로 70 (원효로4가, 신정빌딩) 1층",용산구
용산청파점,"서울 용산구 청파로71길 10 (청파동1가, 새마을금고) 1층",용산구
용산원효대로점,서울 용산구 원효로3가 146-2 이디야커피 용산원효대로점,용산구
