매점명,주소
포항철길숲점,경북 포항시 북구 득량동 288-7 1층
정읍북면점,전북특별자치도 정읍시 북면 한교리 48-6 1층 더벤티 정읍북면점
대전가오점,대전 동구 동구청로 101 (가오동) 1층
구미인동하늘채점,"경북 구미시 여헌로 40-13 (인의동, 구미인동하늘채디어반) 상가 104호"
경주인왕점,경북 경주시 인왕동 751-1 1층
강서가로공원점,"서울 강서구 가로공원로 178-5 (화곡동, 케이씨타운) 케이씨타운 101호"
수원매교힐스테이트점,경기 수원시 팔달구 효원로219번길 55 (인계동) 101~102호
순천법원점,전남 순천시 왕지로 43 (왕지동) 101호
양산북정대로점,"경남 양산시 양산대로 986 (북정동, 상훈빌딩) 1층"
경산임당점,"경북 경산시 남매공원로1길 27 (계양동, 블루핀 임당 제니스 오피스텔) 101호"
종로르메이에르점,"서울 종로구 종로 19 (종로1가, 르메이에르종로타운1) 107-1호"
옥정에듀포레점,"경기 양주시 옥정서로5길 55 (옥정동, 양주옥정신도시 디에트르 에듀포레) B209호"
신림역점,서울 관악구 신림동 1640-10 1~3층
대구복현푸르지오점,대구 북구 복현동 694 복현푸르지오 401동 114호
덕소강변스타힐스점,"경기 남양주시 와부읍 덕소로 213 (도곡리, 덕소강변서희스타힐스)  상가 3동 303호 더벤티 덕소강변스타힐스점"
롯데마트성정점,"충남 천안시 서북구 성정두정로 1 (성정동, 롯데마트 성정점) 3층"
익산영등제일점,"전북특별자치도 익산시 고봉로30길 17 (영등동, 제일아파트상가) 105호"
아차산점,서울 광진구 천호대로129길 16 (구의동) 1층 (구의동)
해운대중동역점,"부산 해운대구 좌동순환로 505 (중동, 센트럴메디타워) 1층 103호 더벤티 해운대중동역점"
제천의림지점,충북 제천시 의림대로 580 (모산동) 1층 더벤티 제천의림지점
강릉교동점,강원특별자치도 강릉시 교동광장로 129 (교동) 1층
안산고잔역점,경기 안산시 단원구 화정천동로 106 (고잔동) 1층 (고잔동)
광주행암점,광주 남구 효덕로 201 (행암동) 주건축물제1동 1층 103호 더벤티 광주행암점
나주동신대점,전남 나주시 대호길 76-21 (대호동) 1층
전주시청점,전북특별자치도 전주시 완산구 팔달로 262-14 (서노송동) 1층(서노송동)
강서가양점,"서울 강서구 허준로 16 (가양동, 성지빌딩) 1층 102호 (가양동)"
의왕스마트시티점,경기 의왕시 광진말로 54 (초평동) 1층 S149호 (초평동)
천안풍세수자인점,"충남 천안시 동남구 풍세면 풍세산단로 290 (보성리, 천안 한양수자인 에코시티) 상가동 1층 183호 (천안 한양수자인 에코시티)"
석촌중앙점,"서울 송파구 백제고분로33길 14 (석촌동, 유림빌딩) 유림빌딩 1층 더벤티 석촌중앙점"
인천옥련시장점,"인천 연수구 독배로40번길 11 (옥련동, 효명프라자) 1층 102호(옥련동, 효명프라자)"
김해진영장등점,"경남 김해시 진영읍 장등로 94 (진영리, 중흥S클래스3단지아파트) 331동 1층 111호 (중흥S클래스3단지아파트) 더벤티 김해진영장등점"
현대테라타워DMC점,경기 고양시 덕양구 향동로 218 (향동동) 현대테라타워DMC A-B112호
인천시티오씨엘점,"인천 미추홀구 학익로 116 (학익동, 시티오씨엘 1단지) 126동 1층 16호 (학익동, 시티오씨엘 1단지)"
청주예술대점,충북 청주시 청원구 안덕벌로104번길 14-2 (내덕동) 1층 더벤티 청주예술대점(내덕동)
양산사송점,"경남 양산시 동면 사송로 55 (사송리, 사송역 우미린 포레스트) 1층 112호 더벤티 양산사송점"
포항양덕삼구점,"경북 포항시 북구 장량중앙로 130 (양덕동, 양덕삼구트리니엔3차) 311동 105호(양덕동, 양덕삼구트리니엔3차)"
대구반월당점,대구 중구 중앙대로 333 (남산동) 1층(남산동) 더벤티 대구반월당점
익산부영1차점,전북특별자치도 익산시 무왕로 1118 (어양동) 1층 더벤티 익산부영1차점
이천하이닉스점,경기 이천시 부발읍 경충대로2092번길 31 (아미리) 1층 105호(이천아미리슈빌S)
거제지세포점,경남 거제시 일운면 거제대로 2575 (소동리) 주1동 1층
김해삼방점,경남 김해시 삼안로 227-1 (삼방동) 1층 (삼방동)
구미옥계에덴점,경북 구미시 흥안로 14 (옥계동) 101호 (옥계동)
포항용산점,"경북 포항시 남구 오천읍 정몽주로 331 (문덕리, 오천천마타운) 5동 108호 더벤티 포항용산점"
광주평동점,광주 광산구 평동로 812 (옥동) 1층
돌곶이역점,"서울 성북구 화랑로 245 (장위동) 102호, 103호"
댕리단길점,경기 안양시 만안구 안양로329번길 17 (안양동) 1층 101호(안양동)
순천한양수자인점,"전남 순천시 삼산로 173 (용당동, 한양수자인 디에스티지) 근린생활시설동 B202호(용담동, 한양수자인 디에스티지)"
창원온천점,경남 창원시 성산구 동산로73번길 11 (상남동) 1동 1층 101호
강남자곡점,서울 강남구 자곡로 172 (자곡동) 1층 119호 더벤티 강남자곡점
마포합정점,서울 마포구 독막로 42 (합정동) 1층 더벤티 마포합정점
고려대역점,서울 성북구 종암동 29-29 1층 더벤티 고려대역점
천호역성내점,"서울 강동구 올림픽로62길 18 (성내동, 케이빌딩) 케이빌딩 1층 101-2호 더벤티 천호역성내점"
구미산동우미린점,"경북 구미시 산동읍 신당인덕3로 3 (인덕리, 우미린풀하우스) 1동 1층 106호 더벤티 구미산동우미린점"
강릉유천점,강원특별자치도 강릉시 선수촌로 69 (홍제동) A동 107호
