지점명,주소
원흥 삼송점,경기 고양시 덕양구 권율대로 690  (원흥동)  202동 104호
대전관저롯데시네마점,대전 서구 봉우로8번길 23  (관저동) 103A
전주만성점,전북 전주시 덕진구 만성로 137  (만성동)  만성에코르 1단지상가 107호
동탄 호수공원점,"경기 화성시 동탄대로 181  (송동, 동탄린스트라우스더레이크) 레이크꼬모 A동 111호"
당진 기지시점,충남 당진시 송악읍 기지시1길 62  (기지시리)  1층
문경점,경북 문경시 여중1길 21  (모전동)
남양주 다산점,"경기 남양주시 다산중앙로 109  (다산동, 다산진건지구 업무1-4)  1층 114호"
충북혁신도시점,충북 음성군 맹동면 원중로 1438  (동성리)
동탄 신리천점,경기 화성시 동탄대로14길 5-17  (오산동)
삼천포점,경남 사천시 주공로 3  (벌리동) 120호 (벌리동 253-6번지)
서산 해미점,충남 서산시 해미면 서문1로 6  (읍내리)
연천전곡점,경기 연천군 전곡읍 온골로 38-2  (전곡리)
여수 교동점,전남 여수시 진남상가길 21  (교동)
양산역점,경남 양산시 양산역7길 14  (중부동)
이천점,경기 이천시 어재연로 30  (중리동)
경주점,경북 경주시 원화로 312  (성동동)
철원 DMZ점,강원 철원군 동송읍 금학로 247  (이평리)
충북진천점,충북 진천군 진천읍 중앙북로 14  (벽암리) 1층 104호
길음 뉴타운점,"서울 성북구 길음로 33  (길음동, 길음뉴타운) 상가B동 29호"
강남역점,"서울 서초구 서초대로74길 23  (서초동, 서초타운트라팰리스)  108호"
구미 문성점,경북 구미시 고아읍 들성로 170  (원호리)
부산 시민공원점,부산 부산진구 새싹로 83-2  (부암동) B동 1층
김포 운양점,경기 김포시 김포한강11로 300  (운양동) 에비뉴파크 105호
금천 시흥점,서울 금천구 독산로 131-1  (시흥동)
오산원동점,"경기 오산시 오산로132번길 28-19  (원동, 승희프라자) (원동, 승희프라자) 1층"
울산 옥동점,울산 남구 문수로 322  (옥동) 동은빌딩 1층
시흥 배곧점,"경기 시흥시 서울대학로278번길 61  (배곧동, 서영베니스스퀘어) (정왕동, 서영베니스스퀘어) 1층"
평택소사벌점,"경기 평택시 비전5로 16  (비전동, 프라우빌딩) 프라우빌딩 111호"
동탄 2시범단지점,경기 화성시 동탄순환대로 617  (청계동)  범환상가 104호
인천 청라점,인천 서구 연희동 797-1  린스트라우스 B동 115호
경북 도청점,경북 예천군 호명면 산합리 1408  신성프라자 101호
강릉 유천점,강원 강릉시 선수촌로 67  (홍제동) 108호
부산 사직점,부산 동래구 아시아드대로146번길 10  (사직동)
인천 연수점,"인천 연수구 벚꽃로 106  (청학동, 연수광장프라자) 101호(광장프라자)"
충북증평점,"충북 증평군 증평읍 광장로 106  (중동리, 제일가정의학과)"
