매장코드,매장명,주소,오픈날짜
1095,대전가수원DT,대전광역시 서구 가수원동 655-20 스타벅스,2016-08-26
944,대전수침교DT,대전광역시 서구 용문동 250-3,2015-06-24
839,대전관저,대전광역시 서구 관저동 1515,2014-10-15
827,대전대덕로,대전광역시 서구 둔산동 1355,2014-08-29
832,대전목원대,대전광역시 서구 도안동 849,2014-09-23
806,대전둔산,대전광역시 서구 둔산동 1046,2014-07-10
855,대전만년,대전광역시 서구 만년동 333,2014-11-18
790,대전시청사거리,대전광역시 서구 탄방동 587,2014-06-19
611,대전월평,대전광역시 서구 월평동 279번지,2013-04-30
6,둔산은하수,대전광역시 서구 둔산동 1010번지 금정빌딩 1층,2009-08-28
34,대전탄방,대전광역시 서구 탄방동 748번지 정우빌딩 1층,2009-01-15
126,대전시청역,대전광역시 서구 둔산동 1487번지,2008-06-13
349,대전호텔,대전광역시 서구 둔산동 922번지 토요코인호텔 1층,2010-11-09
406,월평트레이더스,대전광역시 서구 월평동 510,2011-07-08
2239,대전시청역8번출구,"대전광역시 서구 둔산동 1415, 1층 일부",2024-02-23
2156,둔산대덕대로,대전광역시 서구 둔산동 1165,2023-07-28
1920,둔산삼성스토어,"대전광역시 서구 둔산동 1372, 1373",2022-01-11
1896,대전갈마DT,대전광역시 서구 갈마동 309-18,2021-12-17
1789,대전용문DT,대전광역시 서구 용문동 277-11 sk주유소,2021-04-01
2384,갤러리아타임월드,"대전광역시 서구 둔산동 1036 갤러리아타임월드백화점, 11층",2025-02-28
2268,도안레이크타워,대전광역시 서구 도안동 2330 대전도안레이크타워 105~109호,2024-06-05
2359,둔산이랜드피어,"대전광역시 서구 둔산동 928 이랜드 PEER 둔산 110호, 111호, 112호, 113호",2024-12-18
2269,대전관저네거리,"대전광역시 서구 관저동 1733 대전 관저 클리닉 센터, 102-1호",2024-06-20
1606,대전반석역,대전광역시 유성구 반석동 640-3 뉴타운프라자,2020-01-21
1198,대전도안DT,대전광역시 유성구 봉명동 555-3,2017-04-18
1175,대전유성구청,대전광역시 유성구 어은동 115-3,2017-02-23
1009,대전지족,대전광역시 유성구 지족동 984-5,2015-11-27
930,대전유성,"대전광역시 유성구 봉명동 446-8, 446-9",2015-05-26
981,대전전민,대전광역시 유성구 전민동 303-1 (1층),2015-09-23
887,대전관평동,대전광역시 유성구 관평동 958 1~3층,2015-01-22
886,대전조이마루,대전광역시 유성구 도룡동 4-20,2015-01-20
693,대전노은,대전광역시 유성구 지족동 907-3 1~2층,2013-11-21
774,충남대정문,대전광역시 유성구 궁동 482-7,2014-05-15
536,대전테크노밸리,"대전광역시 유성구 관평동 937,938번지",2012-07-31
2504,대전용산,대전광역시 유성구 용산동 734 10호~104호,2025-12-23
2098,대전문지,대전광역시 유성구 문지동 655-8,2023-02-24
2438,대전LG에너지솔루션,대전광역시 유성구 문지동 104-1 LG화학기술연구원,2025-07-31
1855,신세계대전R,"대전광역시 유성구 도룡동 3-1, 대전신세계 백화점 5F",2021-08-25
1665,대전현대아울렛,대전광역시 유성구 용산동 579 현대프리미엄아울렛 대전점,2020-06-24
2412,유성선병원,"대전광역시 유성구 지족동 923 유성선병원, B1",2025-05-30
2026,대전유성NC,대전광역시 유성구 봉명동 549-11 NC대전유성점 1층,2022-08-30
1775,대전구암DT,대전광역시 유성구 구암동 615-26,2021-03-18
2420,대전상대동,대전광역시 유성구 상대동 575,2025-06-26
1854,신세계대전B1,"대전광역시 유성구 도룡동 3-1, 대전신세계 백화점 B1층",2021-08-25
1856,대전엑스포스카이,"대전광역시 유성구 도룡동 3-1, 신세계엑스포점 38층",2021-08-25
2464,대전죽동,대전광역시 유성구 죽동 704-13 럭키빌딩,2025-09-26
2248,대전송강,"대전광역시 유성구 송강동 171-2 화인빌딩, 1층",2024-03-15
1186,대전대사DT,대전광역시 중구 대사동 248-296,2017-03-16
1135,대전태평,대전광역시 중구 태평동 395-1 삼부프라자,2016-11-17
1028,대전유천DT,대전광역시 중구 유천동 185-3,2016-01-27
747,대전중앙로R,대전광역시 중구 은행동 149,2014-03-20
260,은행동,대전광역시 중구 은행동 48-14,2004-12-23
1992,대전목동DT,대전광역시 중구 목동 107-15,2022-07-01
2193,서대전네거리,"대전광역시 중구 오류동 151-17, 1층",2023-10-26
1554,울산번영로,울산광역시 남구 달동 117-4 삼성생명빌딩 1F,2019-11-14
